Hospital,county,City,,"Pediatric
Medical
Surgical 
Care Beds","Obstetrics
Level","Obstetrics
Beds","Neonatal
Intensive
Care Beds","Neonatal
Intermediate
Care Beds","Pediatric
Intensive
Care Beds","Total
Births"
Valley Baptist Medical Center - Brownsville,CAMERON,Brownsville,,12,3,35,36,0,0,"2,151"
Valley Regional Medical Center,CAMERON,Brownsville,,21,3,33,10,NAV,0,"2,602"
,CAMERON Total,,COUNTY SUBTOTALS,58,,136,69,15,14,"7,990"
COUNTY-CAMP,,,,,,,,,,
East Texas Medical Center Pittsburg,CAMP,Pittsburg,,1,,0,0,0,0,0
,CAMP Total,,COUNTY SUBTOTALS,1,,0,0,0,0,0
COUNTY-CASTRO,,,,,,,,,,
Plains Memorial Hospital,CASTRO,Dimmitt,,0,,0,0,0,0,0
,CASTRO Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-CHAMBERS,,,,,,,,,,
Bayside Community Hospital,CHAMBERS,Anahuac,,0,,0,0,0,0,0
Winnie Community Hospital,CHAMBERS,Winnie,,0,,0,0,0,0,0
,CHAMBERS Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-CHEROKEE,,,,,,,,,,
East Texas Medical Center Jacksonville,CHEROKEE,Jacksonville,,0,1,13,0,0,0,446
Mother Frances Hospital Jacksonville,CHEROKEE,Jacksonville,,0,,0,0,0,0,0
,CHEROKEE Total,,COUNTY SUBTOTALS,0,,13,0,0,0,446
COUNTY-CHILDRESS,,,,,,,,,,
Childress Regional Medical Center,CHILDRESS,Childress,,0,1,6,0,0,0,213
,CHILDRESS Total,,COUNTY SUBTOTALS,0,,6,0,0,0,213
COUNTY-CLAY,,,,,,,,,,
Clay County Memorial Hospital,CLAY,Henrietta,,0,,0,0,0,0,0
,CLAY Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-COCHRAN,,,,,,,,,,
Cochran Memorial Hospital,COCHRAN,Morton,,0,,0,0,0,0,0
,COCHRAN Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-COLEMAN,,,,,,,,,,
Coleman County Medical Center,COLEMAN,Coleman,,0,,0,0,0,0,24
,COLEMAN Total,,COUNTY SUBTOTALS,0,,0,0,0,0,24
COUNTY-COLLIN,,,,,,,,,,
Baylor Institute for Rehabilitation at Frisco,COLLIN,Frisco,,0,,0,0,0,0,0
Baylor Medical Center at Frisco,COLLIN,Frisco,,0,2,23,8,0,0,"2,613"
Baylor Medical Center at McKinney,COLLIN,McKinney,,0,2,21,7,NAV,0,"1,774"
Baylor Regional Medical Center at Plano,COLLIN,Plano,,0,,0,0,0,0,0
Centennial Medical Center,COLLIN,Frisco,,0,2,20,14,0,0,504
"Columbia Medical Center of McKinney Subsidiary, L.P.",COLLIN,McKinney,,0,2,18,7,0,0,"1,001"
Forest Park Medical Center Frisco,COLLIN,Frisco,,0,,0,0,0,0,0
HEALTHSOUTH Plano Rehabilitation Hospital,COLLIN,Plano,,0,,0,0,0,0,0
LifeCare Hospitals of Plano,COLLIN,Plano,,0,,0,0,0,0,0
Medical Center of Plano,COLLIN,Plano,,0,3,34,40,0,0,"2,405"
Methodist McKinney Hospital,COLLIN,McKinney,,0,,0,0,0,0,0
Plano Specialty Hospital,COLLIN,Plano,,0,,0,0,0,0,0
Star Medical Center,COLLIN,Plano,,0,,0,0,0,0,0
Texas Health Center for Diagnostics & Surgery Plano,COLLIN,Plano,,0,,0,0,0,0,0
Texas Health Presbyterian Hospital Allen,COLLIN,Allen,,0,2,22,0,6,0,578
Texas Health Presbyterian Hospital Plano,COLLIN,Plano,,8,3,85,45,0,0,"3,828"
The Heart Hospital Baylor Plano,COLLIN,Plano,,0,,0,0,0,0,0
Victory Medical Center Craig Ranch,COLLIN,McKinney,,0,,0,0,0,0,0
Warm Springs Rehabilitation Hospital of Allen,COLLIN,Allen,,0,,0,0,0,0,0
,COLLIN Total,,COUNTY SUBTOTALS,8,,223,121,6,0,"12,703"
COUNTY-COLLINGSWORTH,,,,,,,,,,
Collingsworth General Hospital,COLLINGSWORTH,Wellington,,0,,0,0,0,0,0
,COLLINGSWORTH Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-COLORADO,,,,,,,,,,
Columbus Community Hospital,COLORADO,Columbus,,0,1,6,0,0,0,225
Rice Medical Center,COLORADO,Eagle Lake,,0,1,4,0,0,0,37
,COLORADO Total,,COUNTY SUBTOTALS,0,,10,0,0,0,262
COUNTY-COMAL,,,,,,,,,,
CHRISTUS Santa Rosa Hospital -  New Braunfels,COMAL,New Braunfels,,0,1,13,0,0,0,841
New Braunfels Regional Rehabilitation Hospital,COMAL,New Braunfels,,0,,0,0,0,0,0
Resolute Health,COMAL,New Braunfels,,0,1,6,4,0,0,253
Warm Springs Specialty Hospital at New Braunfels,COMAL,New Braunfels,,0,,0,0,0,0,0
,COMAL Total,,COUNTY SUBTOTALS,0,,19,4,0,0,"1,094"
COUNTY-COMANCHE,,,,,,,,,,
Comanche County Medical Center,COMANCHE,Comanche,,0,,0,0,0,0,0
,COMANCHE Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-CONCHO,,,,,,,,,,
Concho County Hospital,CONCHO,Eden,,0,,0,0,0,0,0
,CONCHO Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-COOKE,,,,,,,,,,
Muenster Memorial Hospital,COOKE,Muenster,,0,,0,0,0,0,0
North Texas Medical Center,COOKE,Gainesville,,0,1,12,0,0,0,333
,COOKE Total,,COUNTY SUBTOTALS,0,,12,0,0,0,333
COUNTY-CORYELL,,,,,,,,,,
Coryell Memorial Hospital,CORYELL,Gatesville,,0,,0,0,0,0,0
,CORYELL Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-CRANE,,,,,,,,,,
Crane Memorial Hospital,CRANE,Crane,,0,,0,0,0,0,0
,CRANE Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-CROSBY,,,,,,,,,,
Crosbyton Clinic Hospital,CROSBY,Crosbyton,,0,,0,0,0,0,0
,CROSBY Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-CULBERSON,,,,,,,,,,
Culberson Hospital,CULBERSON,Van Horn,,0,,0,0,0,0,0
,CULBERSON Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-DALLAS,,,,,,,,,,
Baylor Heart and Vascular Center,DALLAS,Dallas,,0,,0,0,0,0,0
Baylor Institute for Rehabilitation,DALLAS,Dallas,,0,,0,0,0,0,0
Baylor Institute for Rehabilitation at Northwest Dallas,DALLAS,Dallas,,0,,0,0,0,0,0
Baylor Medical Center at Garland,DALLAS,Garland,,0,1,20,0,0,0,802
Baylor Medical Center at Irving,DALLAS,Irving,,0,2,33,0,10,0,"2,151"
Baylor Medical Center at Uptown,DALLAS,Dallas,,0,,0,0,0,0,0
Baylor Specialty Hospital,DALLAS,Dallas,,0,,0,0,0,0,0
Baylor Surgical Hospital at Las Colinas,DALLAS,Irving,,0,,0,0,0,0,0
Baylor University Medical Center,DALLAS,Dallas,,0,3,53,83,0,0,"4,794"
Children's Medical Center of Dallas,DALLAS,Dallas,,287,,0,36,0,50,0
Crescent Medical Center Lancaster,DALLAS,Lancaster,,0,,0,0,0,0,0
Dallas Medical Center,DALLAS,Dallas,,0,1,12,0,0,0,592
Dallas Regional Medical Center,DALLAS,Mesquite,,0,,0,0,0,0,0
Doctors Hospital at White Rock Lake,DALLAS,Dallas,,0,1,10,4,NAV,0,864
Forest Park Medical Center,DALLAS,Dallas,,0,,0,0,0,0,0
Kindred Hospital - Dallas,DALLAS,Dallas,,0,,0,0,0,0,0
Kindred Hospital - White Rock,DALLAS,Dallas,,0,,0,0,0,0,0
Kindred Hospital Dallas Central,DALLAS,Dallas,,0,,0,0,0,0,0
Las Colinas Medical Center,DALLAS,Irving,,0,2,34,6,0,0,"1,616"
LifeCare Hospitals of Dallas,DALLAS,Dallas,,0,,0,0,0,0,0
Medical City Dallas Hospital,DALLAS,Dallas,,64,3,49,60,0,20,"3,747"
Mesquite Rehabilitation Hospital,DALLAS,Mesquite,,0,,0,0,0,0,0
Mesquite Specialty Hospital,DALLAS,Mesquite,,0,,0,0,0,0,0
Methodist Charlton Medical Center,DALLAS,Dallas,,0,3,15,0,0,0,"1,679"
Methodist Dallas Medical Center,DALLAS,Dallas,,0,3,14,50,0,0,"3,472"
Methodist Hospital for Surgery,DALLAS,Addison,,0,,0,0,0,0,0
Methodist Rehabilitation Hospital,DALLAS,Dallas,,0,,0,0,0,0,0
Methodist Richardson Medical Center,DALLAS,Richardson,,0,2,10,8,0,0,"1,262"
"North Central Surgical Center, LLP",DALLAS,Dallas,,0,,0,0,0,0,0
Our Children's House at Baylor,DALLAS,Dallas,,54,,0,0,0,0,0
Parkland Memorial Hospital,DALLAS,Dallas,,0,3,164,90,0,0,"10,222"
Pine Creek Medical Center,DALLAS,Dallas,,0,,0,0,0,0,0
Promise Hospital of Dallas Inc,DALLAS,Dallas,,0,,0,0,0,0,0
Reliant Rehabilitation Hospital Dallas,DALLAS,Dallas,,0,,0,0,0,0,0
Reliant Rehabilitation Hospital North Texas,DALLAS,Richardson,,0,,0,0,0,0,0
Select Specialty Hospital - South Dallas,DALLAS,Dallas,,0,,0,0,0,0,0
Texas Health Presbyterian Hospital Dallas,DALLAS,Dallas,,0,3,99,85,0,0,"5,817"
Texas Institute for Surgery at Texas Health Presbyterian Dallas,DALLAS,Dallas,,0,,0,0,0,0,0
Texas Regional Medical Center at Sunnyvale,DALLAS,Sunnyvale,,0,1,9,0,0,0,"1,360"
Texas Scottish Rite Hospital for Children,DALLAS,Dallas,,52,,0,0,0,0,0
University of Texas Southwestern Medical Center,DALLAS,Dallas,,0,3,17,24,0,0,"1,750"
Vibra Specialty Hospital,DALLAS,De Soto,,0,,0,0,0,0,0
Walnut Hill Medical Center,DALLAS,Dallas,,0,,0,0,0,0,0
,DALLAS Total,,COUNTY SUBTOTALS,457,,539,446,10,70,"40,128"
COUNTY-DAWSON,,,,,,,,,,
Medical Arts Hospital,DAWSON,Lamesa,,0,1,2,0,0,0,100
,DAWSON Total,,COUNTY SUBTOTALS,0,,2,0,0,0,100
COUNTY-DE WITT,,,,,,,,,,
Cuero Community Hospital,DE WITT,Cuero,,0,1,5,0,0,0,146
,DE WITT Total,,COUNTY SUBTOTALS,0,,5,0,0,0,146
COUNTY-DEAF SMITH,,,,,,,,,,
Hereford Regional Medical Center,DEAF SMITH,Hereford,,0,1,11,0,0,0,295
,DEAF SMITH Total,,COUNTY SUBTOTALS,0,,11,0,0,0,295
COUNTY-DENTON,,,,,,,,,,
Accel Rehabilitation Hospital of Plano,DENTON,Plano,,0,,0,0,0,0,0
Atrium Medical Center at Corinth,DENTON,Corinth,,0,,0,0,0,0,0
Baylor Emergency Medical Center at Aubrey,DENTON,Aubrey,,0,,0,0,0,0,0
Baylor Medical Center at Carrollton,DENTON,Carrollton,,0,2,27,3,3,NAV,"1,399"
Baylor Medical Center at Trophy Club,DENTON,Trophy Club,,0,,0,0,0,0,0
Continuum Rehabilitation Hospital of North Texas,DENTON,Flower Mound,,0,,0,0,0,0,0
Denton Regional Medical Center,DENTON,Denton,,0,2,12,0,NAV,0,"1,067"
Integrity Transitional Hospital,DENTON,Denton,,0,,0,0,0,0,0
Mayhill Hospital,DENTON,Denton,,0,,0,0,0,0,0
Medical Center of Lewisville,DENTON,Lewisville,,10,2,28,16,0,0,"1,368"
Select Rehabilitation Hospital of Denton,DENTON,Denton,,0,,0,0,0,0,0
Select Specialty Hospital - Dallas,DENTON,Carrollton,,0,,0,0,0,0,0
Texas Health Presbyterian Hospital Denton,DENTON,Denton,,18,3,37,10,0,0,"1,912"
Texas Health Presbyterian Hospital Flower Mound,DENTON,Flower Mound,,0,2,17,0,6,0,"1,327"
The Heart Hospital Baylor Denton,DENTON,Denton,,0,,0,0,0,0,0
Victory Medical Center Plano LP,DENTON,Plano,,0,,0,0,0,0,0
,DENTON Total,,COUNTY SUBTOTALS,28,,121,29,9,NAV,"7,073"
COUNTY-DIMMIT,,,,,,,,,,
Dimmit County Memorial Hospital,DIMMIT,Carrizo Springs,,6,1,4,0,0,0,242
,DIMMIT Total,,COUNTY SUBTOTALS,6,,4,0,0,0,242
COUNTY-EASTLAND,,,,,,,,,,
Eastland Memorial Hospital,EASTLAND,Eastland,,0,,0,0,0,0,2
,EASTLAND Total,,COUNTY SUBTOTALS,0,,0,0,0,0,2
COUNTY-ECTOR,,,,,,,,,,
Basin Healthcare Center,ECTOR,Odessa,,0,,0,0,0,0,0
Medical Center Hospital,ECTOR,Odessa,,22,3,45,30,0,0,"1,805"
Odessa Regional Medical Center,ECTOR,Odessa,,29,3,49,49,0,0,"2,574"
,ECTOR Total,,COUNTY SUBTOTALS,51,,94,79,0,0,"4,379"
COUNTY-EL PASO,,,,,,,,,,
El Paso Children's Hospital,EL PASO,El Paso,,26,,0,24,26,22,0
El Paso LTAC Hospital,EL PASO,El Paso,,0,,0,0,0,0,0
El Paso Specialty Hospital,EL PASO,El Paso,,0,,0,0,0,0,0
Foundation Surgical Hospital of El Paso,EL PASO,El Paso,,0,,0,0,0,0,0
Highlands Regional Rehabilitation Hospital,EL PASO,El Paso,,0,,0,0,0,0,0
Kindred Hospital El Paso,EL PASO,El Paso,,0,,0,0,0,0,0
Las Palmas Medical Center,EL PASO,El Paso,,36,3,74,20,11,8,"5,113"
Mesa Hill Specialty Hospital,EL PASO,El Paso,,0,,0,0,0,0,0
Providence Memorial Hospital,EL PASO,El Paso,,98,2,55,15,20,15,"3,159"
Sierra Medical Center,EL PASO,El Paso,,0,2,25,14,0,0,"1,436"
Sierra Providence East Medical Center,EL PASO,El Paso,,0,3,26,6,6,0,"1,983"
University Medical Center of El Paso,EL PASO,El Paso,,0,3,38,0,0,0,"3,636"
,EL PASO Total,,COUNTY SUBTOTALS,160,,218,79,63,45,"15,327"
COUNTY-ELLIS,,,,,,,,,,
Baylor Medical Center at Waxahachie,ELLIS,Waxahachie,,0,,0,0,0,0,0
Ennis Regional Medical Center,ELLIS,Ennis,,0,1,10,0,0,0,698
,ELLIS Total,,COUNTY SUBTOTALS,0,,10,0,0,0,698
COUNTY-ERATH,,,,,,,,,,
Texas Health Harris Methodist Hospital Stephenville,ERATH,Stephenville,,2,1,10,0,0,0,470
,ERATH Total,,COUNTY SUBTOTALS,2,,10,0,0,0,470
COUNTY-FALLS,,,,,,,,,,
Falls Community Hospital and Clinic,FALLS,Marlin,,0,,0,0,0,0,0
,FALLS Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-FANNIN,,,,,,,,,,
Red River Regional Hospital,FANNIN,Bonham,,0,,0,0,0,0,0
,FANNIN Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-FAYETTE,,,,,,,,,,
St. Mark's Medical Center,FAYETTE,La Grange,,0,1,6,0,0,0,295
,FAYETTE Total,,COUNTY SUBTOTALS,0,,6,0,0,0,295
COUNTY-FISHER,,,,,,,,,,
Fisher County Hospital District,FISHER,Rotan,,0,,0,0,0,0,0
,FISHER Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-FLOYD,,,,,,,,,,
W.J. Mangold Memorial Hospital,FLOYD,Lockney,,0,1,4,0,0,0,35
,FLOYD Total,,COUNTY SUBTOTALS,0,,4,0,0,0,35
COUNTY-FORT BEND,,,,,,,,,,
Atrium Medical Center,FORT BEND,Stafford,,0,,0,0,0,0,0
Emerus Hospital,FORT BEND,Sugar Land,,0,,0,0,0,0,0
HEALTHSOUTH Sugar Land Rehabilitation Hospital,FORT BEND,Sugar Land,,0,,0,0,0,0,0
Houston Methodist Sugar Land Hospital,FORT BEND,Sugar Land,,0,2,38,0,9,0,"3,043"
Kindred Hospital Sugar Land,FORT BEND,Sugar Land,,0,,0,0,0,0,0
Memorial Hermann Sugar Land,FORT BEND,Sugar Land,,5,2,17,4,0,0,"1,391"
Memorial Hermann Surgical Hospital First Colony,FORT BEND,Sugar Land,,0,,0,0,0,0,0
OakBend Medical Center,FORT BEND,Richmond,,4,2,27,8,0,0,"1,607"
St. Luke's Sugar Land Hospital,FORT BEND,Sugar Land,,0,,0,0,0,0,0
,FORT BEND Total,,COUNTY SUBTOTALS,9,,82,12,9,0,"6,041"
COUNTY-FRANKLIN,,,,,,,,,,
East Texas Medical Center Mount Vernon,FRANKLIN,Mount Vernon,,0,,0,0,0,0,0
,FRANKLIN Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-FREESTONE,,,,,,,,,,
East Texas Medical Center - Fairfield,FREESTONE,Fairfield,,0,,0,0,0,0,0
,FREESTONE Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-FRIO,,,,,,,,,,
Frio Regional Hospital,FRIO,Pearsall,,0,1,2,0,0,0,125
Nix Community General Hospital,FRIO,Dilley,,0,,0,0,0,0,0
,FRIO Total,,COUNTY SUBTOTALS,0,,2,0,0,0,125
COUNTY-GAINES,,,,,,,,,,
Memorial Hospital,GAINES,Seminole,,0,1,5,0,0,0,271
,GAINES Total,,COUNTY SUBTOTALS,0,,5,0,0,0,271
COUNTY-GALVESTON,,,,,,,,,,
Shriners Hospital for Children- Galveston,GALVESTON,Galveston,,0,,0,0,0,0,0
University of Texas Medical Branch Hospital,GALVESTON,Galveston,,16,3,67,43,NAV,4,"5,412"
,GALVESTON Total,,COUNTY SUBTOTALS,16,,67,43,NAV,4,"5,412"
COUNTY-GILLESPIE,,,,,,,,,,
Hill Country Memorial Hospital,GILLESPIE,Fredericksburg,,0,1,10,0,0,0,472
,GILLESPIE Total,,COUNTY SUBTOTALS,0,,10,0,0,0,472
COUNTY-GONZALES,,,,,,,,,,
Memorial Hospital,GONZALES,Gonzales,,0,1,3,0,0,0,184
,GONZALES Total,,COUNTY SUBTOTALS,0,,3,0,0,0,184
COUNTY-GRAY,,,,,,,,,,
Pampa Regional Medical Center,GRAY,Pampa,,0,2,13,0,0,0,204
,GRAY Total,,COUNTY SUBTOTALS,0,,13,0,0,0,204
COUNTY-GRAYSON,,,,,,,,,,
Carrus Rehabilitation Hospital,GRAYSON,Sherman,,0,,0,0,0,0,0
Carrus Specialty Hospital,GRAYSON,Sherman,,0,,0,0,0,0,0
Heritage Park Surgical Hospital,GRAYSON,Sherman,,0,,0,0,0,0,0
Texoma Medical Center,GRAYSON,Denison,,10,2,8,0,0,0,"1,107"
Wilson N. Jones Regional Medical Center,GRAYSON,Sherman,,0,2,10,0,0,0,428
,GRAYSON Total,,COUNTY SUBTOTALS,10,,18,0,0,0,"1,535"
COUNTY-GREGG,,,,,,,,,,
Allegiance Specialty Hospital of Kilgore,GREGG,Kilgore,,0,,0,0,0,0,0
Good Shepherd Medical Center,GREGG,Longview,,19,2,43,13,18,0,"2,170"
Longview Regional Medical Center,GREGG,Longview,,8,2,35,21,0,0,"1,717"
"Select Specialty Hospital - Longview, Inc.",GREGG,Longview,,0,,0,0,0,0,0
,GREGG Total,,COUNTY SUBTOTALS,27,,78,34,18,0,"3,887"
COUNTY-GRIMES,,,,,,,,,,
Grimes St. Joseph Health Center,GRIMES,Navasota,,0,,0,0,0,0,0
,GRIMES Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-GUADALUPE,,,,,,,,,,
Guadalupe Regional Medical Center,GUADALUPE,Seguin,,0,1,14,0,0,0,852
,GUADALUPE Total,,COUNTY SUBTOTALS,0,,14,0,0,0,852
COUNTY-HALE,,,,,,,,,,
Covenant Hospital Plainview,HALE,Plainview,,0,1,12,0,0,0,498
,HALE Total,,COUNTY SUBTOTALS,0,,12,0,0,0,498
COUNTY-HAMILTON,,,,,,,,,,
Hamilton General Hospital,HAMILTON,Hamilton,,0,,0,0,0,0,0
,HAMILTON Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-HANSFORD,,,,,,,,,,
