County ,Total,Total Male,Total Female,White Male,White Female,Black Male,Black Female,Hispanic Male,Hispanic Female,Other Male,Other Female,
CAMERON ,"421,288","203,612","217,676","20,943","20,499",735,504,"179,796","194,496","2,138","2,177",
CAMP ,"12,617","6,221","6,396","3,526","3,742","1,014","1,139","1,513","1,339",168,176,
CARSON ,"6,117","3,020","3,097","2,652","2,740",17,19,268,272,83,66,
CASS ,"30,784","15,003","15,781","11,576","12,063","2,515","2,803",617,572,295,343,
CASTRO ,"8,026","4,077","3,949","1,437","1,428",72,72,"2,532","2,403",36,46,
CHAMBERS ,"36,774","18,454","18,320","12,480","12,662","1,511","1,462","3,996","3,702",467,494,
CHEROKEE ,"52,538","26,823","25,715","15,669","16,318","4,078","3,474","6,536","5,289",540,634,
CHILDRESS ,"7,047","4,129","2,918","2,224","2,055",543,129,"1,289",656,73,78,
CLAY ,"10,844","5,323","5,521","4,923","5,079",30,21,226,262,144,159,
COCHRAN ,"3,013","1,480","1,533",619,632,43,64,804,814,14,23,
COKE ,"3,263","1,601","1,662","1,240","1,325",3,2,323,307,35,28,
COLEMAN ,"8,830","4,474","4,356","3,520","3,442",99,89,768,741,87,84,
COLLIN ,"854,036","419,048","434,988","252,671","261,208","35,037","40,150","69,092","68,010","62,248","65,620",
COLLINGSWORTH ,"2,958","1,454","1,504",903,912,44,67,464,480,43,45,
COLORADO ,"21,514","10,738","10,776","6,127","6,313","1,341","1,419","3,124","2,875",146,169,
COMAL ,"118,373","58,238","60,135","41,180","42,406",975,851,"14,734","15,275","1,349","1,603",
COMANCHE ,"14,047","6,967","7,080","4,865","5,102",15,13,"2,000","1,852",87,113,
CONCHO ,"4,055","2,767","1,288",910,870,54,5,"1,774",397,29,16,
COOKE ,"39,389","19,618","19,771","14,898","15,463",579,479,"3,583","3,128",558,701,
CORYELL ,"76,805","37,549","39,256","22,779","23,770","5,472","5,950","6,600","6,491","2,698","3,045",
COTTLE ,"1,486",708,778,481,539,58,63,159,170,10,6,
CRANE ,"4,744","2,336","2,408",885,958,62,67,"1,345","1,339",44,44,
CROCKETT ,"3,747","1,847","1,900",644,653,8,3,"1,170","1,227",25,17,
CROSBY ,"5,974","2,882","3,092","1,149","1,285",89,99,"1,616","1,678",28,30,
CULBERSON ,"2,388","1,166","1,222",260,237,6,3,869,959,31,23,
DALLAM ,"6,964","3,637","3,327","1,923","1,828",40,40,"1,562","1,378",112,81,
DALLAS ,"2,459,095","1,220,823","1,238,272","363,481","376,850","252,764","291,432","516,499","479,548","88,079","90,442",
DAWSON ,"13,847","7,837","6,010","2,901","2,339",622,223,"4,207","3,364",107,84,
DEAF SMITH ,"19,337","9,694","9,643","2,691","2,848",75,75,"6,814","6,590",114,130,
DELTA ,"5,276","2,593","2,683","2,140","2,239",180,203,173,122,100,119,
DENTON ,"721,022","354,859","366,163","217,836","224,722","29,204","32,339","72,100","71,529","35,719","37,573",
DEWITT ,"20,663","10,835","9,828","5,723","5,653","1,103",758,"3,847","3,221",162,196,
DICKENS ,"2,345","1,337","1,008",795,718,70,13,438,257,34,20,
DIMMIT ,"11,012","5,354","5,658",684,647,49,40,"4,579","4,921",42,50,
DONLEY ,"3,626","1,797","1,829","1,546","1,530",70,97,156,160,25,42,
DUVAL ,"11,661","6,043","5,618",673,503,78,6,"5,260","5,075",32,34,
EASTLAND ,"18,731","9,165","9,566","7,314","7,860",193,138,"1,493","1,399",165,169,
ECTOR ,"149,324","73,950","75,374","28,146","29,224","2,970","3,047","41,154","41,432","1,680","1,671",
EDWARDS ,"1,865",959,906,438,430,6,3,509,461,6,12,
ELLIS ,"155,939","76,791","79,148","48,104","50,751","6,802","7,245","20,109","19,166","1,776","1,986",
EL PASO ,"829,726","403,359","426,367","53,604","47,085","12,096","8,814","328,791","360,930","8,868","9,538",
ERATH ,"39,862","19,630","20,232","14,617","15,678",291,193,"4,255","3,922",467,439,
FALLS ,"17,493","8,356","9,137","4,268","4,704","1,911","2,485","2,019","1,797",158,151,
FANNIN ,"34,526","18,308","16,218","14,056","13,576","1,566",723,"2,178","1,382",508,537,
FAYETTE ,"24,833","12,272","12,561","8,736","9,118",778,823,"2,589","2,435",169,185,
FISHER ,"3,864","1,910","1,954","1,310","1,364",53,65,518,501,29,24,
FLOYD ,"6,248","3,085","3,163","1,243","1,335",99,105,"1,724","1,695",19,28,
FOARD ,"1,284",610,674,493,535,23,33,91,101,3,5,
FORT BEND ,"650,693","318,556","332,137","109,513","111,261","64,759","73,102","80,134","81,287","64,150","66,487",
FRANKLIN ,"10,656","5,358","5,298","4,244","4,256",214,206,794,679,106,157,
FREESTONE ,"20,078","10,574","9,504","6,921","6,717","1,776","1,434","1,702","1,202",175,151,
FRIO ,"18,175","10,602","7,573","1,543","1,351",497,34,"8,110","6,105",452,83,
GAINES ,"18,820","9,434","9,386","5,623","5,776",132,138,"3,548","3,358",131,114,
GALVESTON ,"305,938","152,279","153,659","88,611","88,465","18,987","20,965","36,509","35,707","8,172","8,522",
GARZA ,"6,510","4,104","2,406","1,634","1,295",273,120,"2,173",951,24,40,
GILLESPIE ,"25,695","12,389","13,306","9,347","10,502",22,21,"2,847","2,588",173,195,
GLASSCOCK ,"1,249",658,591,435,398,6,6,211,183,6,4,
GOLIAD ,"7,444","3,697","3,747","2,183","2,230",143,158,"1,312","1,313",59,46,
GONZALES ,"20,326","10,300","10,026","4,244","4,406",717,654,"5,212","4,807",127,159,
GRAY ,"23,110","12,076","11,034","7,654","7,690",790,296,"3,348","2,743",284,305,
GRAYSON ,"123,115","60,167","62,948","45,911","48,786","3,450","3,585","8,070","7,575","2,736","3,002",
GREGG ,"124,939","61,400","63,539","35,291","37,696","11,564","12,948","12,479","10,807","2,066","2,088",
GRIMES ,"27,596","15,164","12,432","8,803","7,609","2,624","1,834","3,491","2,742",246,247,
GUADALUPE ,"143,195","70,012","73,183","37,089","39,346","4,430","4,374","26,099","26,488","2,394","2,975",
HALE ,"35,626","18,455","17,171","6,504","6,307","1,128",660,"10,534","9,924",289,280,
HALL ,"3,331","1,651","1,680",919,"1,002",138,105,581,555,13,18,
HAMILTON ,"8,482","4,231","4,251","3,656","3,755",27,11,485,426,63,59,
HANSFORD ,"5,520","2,785","2,735","1,420","1,504",17,12,"1,320","1,189",28,30,
HARDEMAN ,"4,024","2,020","2,004","1,363","1,424",115,89,483,452,59,39,
HARDIN ,"57,005","28,107","28,898","24,486","25,240","1,592","1,786","1,465","1,317",564,555,
HARRIS ,"4,325,413","2,160,184","2,165,229","662,095","666,304","369,250","418,276","952,502","899,104","176,337","181,545",
HARRISON ,"66,931","33,098","33,833","21,023","21,486","6,715","7,593","4,545","3,941",815,813,
HARTLEY ,"6,134","3,760","2,374","2,259","1,846",410,6,"1,047",475,44,47,
HASKELL ,"5,852","3,110","2,742","2,097","1,935",127,72,801,690,85,45,
HAYS ,"175,412","86,898","88,514","49,325","50,782","2,938","2,490","31,944","32,397","2,691","2,845",
HEMPHILL ,"3,988","2,021","1,967","1,349","1,379",3,2,644,548,25,38,
HENDERSON ,"79,849","39,150","40,699","30,781","32,599","2,410","2,471","4,983","4,620",976,1009,
HIDALGO ,"818,553","399,549","419,004","30,604","30,267","1,928",971,"362,001","382,345","5,016","5,421",
HILL ,"35,239","17,405","17,834","12,411","13,045","1,039","1,160","3,608","3,278",347,351,
HOCKLEY ,"23,563","11,705","11,858","5,785","5,954",425,437,"5,299","5,282",196,185,
HOOD ,"53,022","26,083","26,939","22,239","23,476",148,85,"3,127","2,734",569,644,
HOPKINS ,"35,601","17,721","17,880","12,783","13,362","1,238","1,270","3,230","2,749",470,499,
HOUSTON ,"23,396","12,590","10,806","7,368","7,056","3,425","2,608","1,602",883,195,259,
HOWARD ,"36,077","20,342","15,735","10,224","8,840","1,558",592,"8,013","5,906",547,397,
HUDSPETH ,"3,447","1,751","1,696",335,283,23,7,"1,372","1,380",21,26,
HUNT ,"88,451","43,586","44,865","31,289","32,958","3,508","3,787","7,083","6,350","1,706","1,770",
HUTCHINSON ,"21,735","10,901","10,834","7,884","7,984",277,226,"2,343","2,221",397,403,
IRION ,"1,724",868,856,616,609,6,5,233,224,13,18,
JACK ,"9,110","5,089","4,021","3,884","3,382",295,31,841,544,69,64,
JACKSON ,"14,553","7,223","7,330","4,394","4,554",465,517,"2,255","2,156",109,103,
JASPER ,"35,438","17,471","17,967","12,981","13,525","2,864","3,034","1,212",935,414,473,
JEFF DAVIS ,"2,238","1,125","1,113",713,702,5,3,379,383,28,25,
JEFFERSON ,"253,315","129,984","123,331","53,993","53,206","41,908","42,831","26,984","20,825","7,099","6,469",
JIM HOGG ,"5,236","2,594","2,642",171,154,16,1,"2,389","2,464",18,23,
JIM WELLS ,"41,902","20,742","21,160","3,918","3,963",93,67,"16,539","16,931",192,199,
JOHNSON ,"157,201","78,499","78,702","57,266","59,360","2,316","1,904","16,453","14,987","2,464","2,451",
JONES ,"19,725","12,165","7,560","6,541","5,510","1,901",289,"3,548","1,577",175,184,
KARNES ,"15,067","8,967","6,100","3,233","2,752","1,246",95,"4,422","3,176",66,77,
KAUFMAN ,"108,298","52,962","55,336","35,734","37,800","5,359","5,884","10,320","9,940","1,549","1,712",
KENDALL ,"37,673","18,235","19,438","13,617","15,021",86,62,"4,130","3,948",402,407,
KENEDY ,420,219,201,34,50,0,1,182,146,3,4,
KENT ,804,402,402,324,340,4,3,68,54,6,5,
KERR ,"50,827","24,661","26,166","17,203","18,913",453,307,"6,442","6,293",563,653,
KIMBLE ,"4,705","2,355","2,350","1,731","1,774",10,4,578,542,36,30,
KING ,288,140,148,116,126,0,0,21,18,3,4,
KINNEY ,"3,661","1,993","1,668",718,741,17,18,"1,223",881,35,28,
KLEBERG ,"32,019","16,365","15,654","3,851","3,403",627,463,"11,257","11,329",630,459,
KNOX ,"3,817","1,890","1,927","1,156","1,196",109,120,594,587,31,24,
LAMAR ,"50,270","24,385","25,885","18,249","19,261","3,171","3,641","1,892","1,770","1,073","1,213",
LAMB ,"13,780","6,917","6,863","2,764","2,882",283,270,"3,798","3,615",72,96,
LAMPASAS ,"20,478","10,119","10,359","7,435","7,672",300,301,"1,988","1,886",396,500,
LA SALLE ,"7,354","4,372","2,982",488,444,18,1,"3,834","2,518",32,19,
LAVACA ,"19,518","9,614","9,904","7,118","7,474",643,653,"1,713","1,637",140,140,
LEE ,"16,984","8,585","8,399","5,349","5,507",967,839,"2,104","1,883",165,170,
LEON ,"17,060","8,568","8,492","6,548","6,570",567,589,"1,330","1,169",123,164,
LIBERTY ,"78,982","38,852","40,130","26,030","27,206","3,928","4,399","8,049","7,546",845,979,
LIMESTONE ,"23,320","12,149","11,171","7,186","6,923","2,033","1,969","2,698","2,042",232,237,
LIPSCOMB ,"3,469","1,766","1,703","1,135","1,128",2,3,597,524,32,48,
LIVE OAK ,"11,821","6,365","5,456","3,503","3,311",440,20,"2,288","2,038",134,87,
LLANO ,"19,732","9,548","10,184","8,513","9,087",62,37,803,857,170,203,
LOVING ,82,46,36,31,24,0,0,11,11,4,1,
LUBBOCK ,"292,005","144,912","147,093","79,645","82,228","10,459","10,509","48,835","48,601","5,973","5,755",
LYNN ,"5,761","2,867","2,894","1,359","1,464",62,50,"1,407","1,343",39,37,
MCCULLOCH ,"8,340","4,118","4,222","2,665","2,843",64,56,"1,333","1,269",56,54,
MCLENNAN ,"242,430","118,363","124,067","66,808","70,542","16,533","18,737","31,345","30,410","3,677","4,378",
MCMULLEN ,806,416,390,246,244,4,3,166,137,0,6,
MADISON ,"14,091","8,123","5,968","4,339","3,847","1,789",943,"1,852","1,036",143,142,
MARION ,"10,482","5,189","5,293","3,759","3,686","1,082","1,262",172,171,176,174,
MARTIN ,"5,331","2,696","2,635","1,411","1,398",35,36,"1,209","1,169",41,32,
MASON ,"4,156","2,056","2,100","1,526","1,639",8,5,496,433,26,23,
MATAGORDA ,"36,541","18,382","18,159","8,363","8,395","1,924","2,085","7,485","7,086",610,593,
MAVERICK ,"56,061","27,483","28,578",865,728,46,29,"26,177","27,446",395,375,
MEDINA ,"48,095","24,589","23,506","10,859","11,061",790,123,"12,478","11,914",462,408,
MENARD ,"2,279","1,165","1,114",710,706,10,4,439,394,6,10,
MIDLAND ,"152,349","75,318","77,031","37,995","39,066","4,630","4,900","30,359","30,725","2,334","2,340",
MILAM ,"24,388","12,114","12,274","7,670","7,918","1,152","1,219","3,097","2,944",195,193,
MILLS ,"4,972","2,464","2,508","1,960","2,050",11,12,451,414,42,32,
MITCHELL ,"9,309","5,688","3,621","2,456","2,176",893,123,"2,267","1,267",72,55,
MONTAGUE ,"19,947","9,824","10,123","8,530","8,803",30,6,"1,082","1,074",182,240,
MONTGOMERY ,"497,791","244,988","252,803","166,178","175,381","10,028","10,872","58,778","55,514","10,004","11,036",
MOORE ,"22,123","11,495","10,628","3,910","4,039",200,85,"6,232","5,689","1,153",815,
MORRIS ,"13,214","6,433","6,781","4,225","4,413","1,425","1,640",600,553,183,175,
MOTLEY ,"1,196",613,583,503,496,13,7,92,75,5,5,
NACOGDOCHES ,"65,043","31,309","33,734","18,702","20,302","5,253","6,443","6,366","5,933",988,1056,
NAVARRO ,"49,245","24,574","24,671","14,059","14,525","3,150","3,313","6,628","6,105",737,728,
NEWTON ,"14,525","7,515","7,010","5,490","5,273","1,595","1,378",253,181,177,178,
NOLAN ,"15,042","7,544","7,498","4,471","4,428",341,326,"2,598","2,619",134,125,
NUECES ,"351,334","172,995","178,339","54,712","54,620","6,384","5,987","106,774","111,758","5,125","5,974",
OCHILTREE ,"10,783","5,553","5,230","2,483","2,529",9,12,"2,992","2,598",69,91,
OLDHAM ,"2,084","1,046","1,038",873,847,32,31,126,130,15,30,
ORANGE ,"82,801","41,310","41,491","33,665","34,041","3,458","3,691","2,932","2,509","1,255","1,250",
PALO PINTO ,"28,568","14,103","14,465","10,730","11,232",316,287,"2,757","2,657",300,289,
PANOLA ,"24,244","12,081","12,163","8,743","8,861","1,885","2,040","1,212","1,014",241,248,
PARKER ,"121,178","60,890","60,288","50,067","51,233","1,362",542,"7,855","6,780","1,606","1,733",
PARMER ,"9,963","5,150","4,813","1,784","1,774",43,45,"3,281","2,965",42,29,
PECOS ,"15,824","8,891","6,933","2,530","1,755",486,30,"5,756","5,024",119,124,
POLK ,"47,097","25,249","21,848","17,255","16,316","3,282","2,011","3,952","2,671",760,850,
POTTER ,"124,307","63,774","60,533","28,616","29,159","6,973","5,060","24,005","22,259","4,180","4,055",
PRESIDIO ,"7,982","3,897","4,085",615,538,19,6,"3,198","3,469",65,72,
RAINS ,"11,024","5,497","5,527","4,757","4,865",133,110,473,414,134,138,
RANDALL ,"127,294","61,996","65,298","46,464","49,980","1,714","1,357","11,503","11,735","2,315","2,226",
REAGAN ,"3,631","1,908","1,723",632,649,37,22,"1,220","1,037",19,15,
REAL ,"3,343","1,651","1,692","1,167","1,230",7,8,444,418,33,36,
RED RIVER ,"12,418","6,093","6,325","4,458","4,587","1,022","1,162",473,421,140,155,
REEVES ,"13,893","8,330","5,563","1,734",881,561,95,"5,919","4,511",116,76,
REFUGIO ,"7,282","3,650","3,632","1,580","1,592",242,203,"1,761","1,784",67,53,
ROBERTS ,927,477,450,428,413,0,0,43,32,6,5,
ROBERTSON ,"16,966","8,423","8,543","4,897","4,879","1,696","1,909","1,670","1,604",160,151,
ROCKWALL ,"85,050","41,754","43,296","30,118","31,555","2,470","2,579","7,234","7,055","1,932","2,107",
RUNNELS ,"10,300","5,153","5,147","3,212","3,317",91,73,"1,783","1,687",67,70,
RUSK ,"53,545","28,229","25,316","17,601","16,925","5,257","4,064","4,758","3,707",613,620,
SABINE ,"11,045","5,432","5,613","4,745","4,925",393,393,183,178,111,117,
SAN AUGUSTINE ,"8,906","4,430","4,476","3,076","3,057",984,"1,078",296,266,74,75,
SAN JACINTO ,"27,547","13,705","13,842","10,225","10,501","1,437","1,426","1,687","1,599",356,316,
SAN PATRICIO ,"65,714","32,768","32,946","13,448","13,342",510,416,"18,133","18,442",677,746,
SAN SABA ,"6,048","3,335","2,713","2,071","1,921",174,11,"1,049",734,41,47,
SCHLEICHER ,"3,439","1,711","1,728",920,920,15,13,769,784,7,11,
SCURRY ,"17,483","9,375","8,108","5,025","4,720",572,208,"3,665","3,047",113,133,
SHACKELFORD ,"3,406","1,659","1,747","1,439","1,542",11,3,182,168,27,34,
SHELBY ,"25,987","12,947","13,040","8,166","8,367","2,121","2,357","2,486","2,128",174,188,
SHERMAN ,"3,074","1,588","1,486",872,846,8,1,689,624,19,15,
SMITH ,"214,986","104,372","110,614","62,218","66,759","17,733","20,466","21,058","19,700","3,363","3,689",
SOMERVELL ,"8,674","4,272","4,402","3,263","3,374",31,21,883,883,95,124,
STARR ,"62,060","30,086","31,974","1,231","1,264",13,3,"28,759","30,622",83,85,
STEPHENS ,"9,451","4,905","4,546","3,544","3,503",134,55,"1,149",936,78,52,
STERLING ,"1,237",625,612,387,392,12,4,209,200,17,16,
STONEWALL ,"1,418",689,729,558,587,18,17,102,105,11,20,
SUTTON ,"4,108","2,040","2,068",774,813,6,0,"1,246","1,244",14,11,
SWISHER ,"7,684","4,080","3,604","1,911","1,892",388,158,"1,727","1,484",54,70,
TARRANT ,"1,910,975","938,391","972,584","457,932","477,904","133,553","151,987","276,998","268,267","69,908","74,426",
TAYLOR ,"134,948","65,951","68,997","42,557","45,417","4,885","4,606","15,690","15,905","2,819","3,069",
TERRELL ,894,459,435,231,217,5,2,216,211,7,5,
TERRY ,"12,651","6,737","5,914","2,863","2,671",380,187,"3,423","2,990",71,66,
THROCKMORTON ,"1,615",801,814,722,706,3,6,68,87,8,15,
TITUS ,"32,893","16,354","16,539","7,441","7,913","1,448","1,596","7,140","6,667",325,363,
TOM GREEN ,"114,513","56,273","58,240","31,517","32,807","2,213","1,952","20,884","21,646","1,659","1,835",
TRAVIS ,"1,108,503","558,960","549,543","273,966","270,610","42,129","44,766","196,315","186,198","46,550","47,969",
TRINITY ,"14,186","6,929","7,257","5,554","5,871",629,718,632,513,114,155,
TYLER ,"22,261","12,232","10,029","9,064","8,691","1,628",848,"1,316",291,224,199,
UPSHUR ,"40,115","19,906","20,209","16,050","16,348","1,701","1,834","1,575","1,446",580,581,
UPTON ,"3,319","1,661","1,658",789,773,20,25,828,836,24,24,
UVALDE ,"26,790","13,127","13,663","3,638","3,812",66,45,"9,254","9,632",169,174,
VAL VERDE ,"48,544","24,452","24,092","4,487","3,690",334,236,"19,322","19,864",309,302,
VAN ZANDT ,"53,561","26,371","27,190","22,112","23,302",726,706,"2,874","2,495",659,687,
VICTORIA ,"89,481","43,770","45,711","19,937","21,219","2,616","2,800","20,155","20,566","1,062",1126,
WALKER ,"69,411","40,803","28,608","22,422","17,547","9,892","5,454","7,481","4,629","1,008",978,
WALLER ,"45,277","22,380","22,897","9,564","9,991","4,789","5,793","7,567","6,645",460,468,
WARD ,"11,319","5,510","5,809","2,434","2,663",258,247,"2,716","2,792",102,107,
WASHINGTON ,"34,459","17,089","17,370","10,872","11,393","3,011","3,096","2,787","2,425",419,456,
WEBB ,"266,443","130,025","136,418","4,650","3,736",342,165,"124,006","131,505","1,027",1012,
WHARTON ,"41,311","20,365","20,946","9,245","9,854","2,701","2,950","8,164","7,889",255,253,
WHEELER ,"5,835","2,898","2,937","1,964","2,037",61,61,825,768,48,71,
WICHITA ,"132,959","68,286","64,673","44,484","43,916","7,461","6,178","12,900","11,080","3,441","3,499",
WILBARGER ,"13,183","6,625","6,558","4,003","4,064",554,477,"1,866","1,806",202,211,
WILLACY ,"22,023","12,000","10,023","1,159",965,337,37,"10,357","8,959",147,62,
WILLIAMSON ,"463,178","225,697","237,481","137,445","147,342","13,700","14,236","57,430","57,427","17,122","18,476",
WILSON ,"45,680","22,748","22,932","13,239","13,289",356,307,"8,807","8,920",346,416,
WINKLER ,"7,516","3,787","3,729","1,567","1,565",63,69,"2,081","2,037",76,58,
WISE ,"61,558","30,923","30,635","23,662","24,000",383,194,"6,169","5,664",709,777,
WOOD ,"43,106","21,213","21,893","17,638","18,574","1,019","1,015","2,126","1,840",430,464,
YOAKUM ,"8,184","4,068","4,116","1,468","1,543",22,31,"2,521","2,480",57,62,
YOUNG ,"19,062","9,462","9,600","7,317","7,753",127,98,"1,862","1,559",156,190,
ZAPATA ,"14,354","7,229","7,125",430,385,8,1,"6,772","6,703",19,36,
ZAVALA ,"12,113","6,000","6,113",324,326,23,11,"5,637","5,756",16,20,
"* 2013 population data for Texas produced by the Texas State Data Center from the Census 2013 Summary Files, accessed May 2015.",,,,,,,,,,,,
2013 Annual Report List of Tables and References,,,,,,,,,,,,
Annual Reports for Other Years,,,,,,,,,,,,
Center for Health Statistics,,,,,,,,,,,,
End of Worksheet,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
