county,Urbanization Status,Total Births
GRIMES,Rural,0
GUADALUPE,Urban,879
HALE,Rural,447
HALL,Rural,
HAMILTON,Rural,0
HANSFORD,Rural,0
HARDEMAN,Rural,0
HARDIN,Urban,
HARRIS,Urban,77249
HARRISON,Rural,520
HARTLEY,Rural,120
HASKELL,Rural,0
HAYS,Urban,1813
HEMPHILL,Rural,0
HENDERSON,Rural,941
HIDALGO,Urban,16492
HILL,Rural,192
HOCKLEY,Rural,251
HOOD,Urban,575
HOPKINS,Rural,547
HOUSTON,Rural,152
HOWARD,Rural,246
HUDSPETH,Urban,
HUNT,Urban,933
HUTCHINSON,Rural,300
IRION,Urban,
JACK,Rural,77
JACKSON,Rural,0
JASPER,Rural,265
JEFF DAVIS,Rural,
JEFFERSON,Urban,5215
JIM HOGG,Rural,
JIM WELLS,Rural,398
JOHNSON,Urban,453
JONES,Urban,0
KARNES,Rural,0
KAUFMAN,Urban,101
KENDALL,Urban,
KENEDY,Rural,
KENT,Rural,
KERR,Rural,504
KIMBLE,Rural,0
KING,Rural,
KINNEY,Rural,
KLEBERG,Rural,274
KNOX,Rural,0
LAMAR,Rural,809
LAMB,Rural,115
LAMPASAS,Urban,0
LA SALLE,Rural,
LAVACA,Rural,53
LEE,Rural,
LEON,Rural,
LIBERTY,Urban,4
LIMESTONE,Rural,0
LIPSCOMB,Rural,
LIVE OAK,Rural,
LLANO,Rural,30
LOVING,Rural,
LUBBOCK,Urban,5644
LYNN,Urban,0
MCCULLOCH,Rural,0
MCLENNAN,Urban,4298
MCMULLEN,Rural,
MADISON,Rural,0
MARION,Rural,
MARTIN,Urban,1
MASON,Rural,
MATAGORDA,Rural,583
MAVERICK,Rural,1163
MEDINA,Urban,124
MENARD,Rural,
MIDLAND,Urban,2454
MILAM,Rural,0
MILLS,Rural,
MITCHELL,Rural,0
MONTAGUE,Rural,0
MONTGOMERY,Urban,10431
MOORE,Rural,400
MORRIS,Rural,
MOTLEY,Rural,
NACOGDOCHES,Rural,1350
NAVARRO,Rural,539
NEWTON,Urban,
NOLAN,Rural,265
NUECES,Urban,7119
OCHILTREE,Rural,152
OLDHAM,Urban,
ORANGE,Urban,
PALO PINTO,Rural,262
PANOLA,Rural,0
PARKER,Urban,874
PARMER,Rural,1
PECOS,Rural,150
POLK,Rural,438
POTTER,Urban,4426
PRESIDIO,Rural,
RAINS,Rural,
RANDALL,Urban,
REAGAN,Rural,0
REAL,Rural,
RED RIVER,Rural,
REEVES,Rural,138
REFUGIO,Rural,0
ROBERTS,Rural,
ROBERTSON,Urban,
ROCKWALL,Urban,2437
RUNNELS,Rural,0
RUSK,Urban,231
SABINE,Rural,0
SAN AUGUSTINE,Rural,0
SAN JACINTO,Rural,
SAN PATRICIO,Urban,0
SAN SABA,Rural,
SCHLEICHER,Rural,0
SCURRY,Rural,188
SHACKELFORD,Rural,
SHELBY,Rural,
SHERMAN,Rural,
SMITH,Urban,3413
SOMERVELL,Urban,0
STARR,Rural,204
STEPHENS,Rural,0
STERLING,Rural,
STONEWALL,Rural,0
SUTTON,Rural,0
SWISHER,Rural,0
TARRANT,Urban,33286
TAYLOR,Urban,2714
TERRELL,Rural,
TERRY,Rural,130
THROCKMORTON,Rural,0
TITUS,Rural,1027
TOM GREEN,Urban,2080
TRAVIS,Urban,21317
TRINITY,Rural,0
TYLER,Rural,0
UPSHUR,Urban,
UPTON,Rural,0
UVALDE,Rural,424
VAL VERDE,Rural,933
VAN ZANDT,Rural,0
VICTORIA,Urban,2124
WALKER,Rural,450
WALLER,Urban,
WARD,Rural,0
WASHINGTON,Rural,338
WEBB,Urban,5726
WHARTON,Rural,0
WHEELER,Rural,0
WICHITA,Urban,2093
WILBARGER,Rural,0
WILLACY,Rural,
WILLIAMSON,Urban,3807
WILSON,Urban,0
WINKLER,Rural,0
WISE,Urban,625
WOOD,Rural,0
YOAKUM,Rural,260
YOUNG,Rural,38
ZAPATA,Rural,
ZAVALA,Rural,
